gene,source
NEK4,CellAge
NEK6,CellAge
NEK9,CellAge
NF1,CellAge
NF2,CellAge
NFE2L2,CellAge
NFKB2,CellAge
NFKBIA,CellAge
NHEJ1,CellAge
NINJ1,CellAge
NIPA2,CellAge
NLK,CellAge
NLRX1,CellAge
NOLC1,CellAge
NOTCH1,CellAge
NOTCH3,CellAge
NOX1,CellAge
NOX4,CellAge
NPM1,CellAge
NQO1,CellAge
NR1H2,CellAge
NR2E1,CellAge
NRAS,CellAge
NRF1,CellAge
NRSN2,CellAge
NSUN2,CellAge
NTN4,CellAge
NUAK1,CellAge
NUAK2,CellAge
NUDT5,CellAge
NUTF2,CellAge
OGG1,CellAge
OGT,CellAge
OPA1,CellAge
ORAI1,CellAge
ORC1,CellAge
OTX2,CellAge
OXTR,CellAge
P2RY14,CellAge
P3H1,CellAge
PAK2,CellAge
PAK4,CellAge
PAPSS2,CellAge
PARK7,CellAge
PARP1,CellAge
PATZ1,CellAge
PAX8,CellAge
PBRM1,CellAge
PCGF2,CellAge
PDCD10,CellAge
PDCD11,CellAge
PDCD4,CellAge
PDGFB,CellAge
PDIK1L,CellAge
PDPK1,CellAge
PDZD2,CellAge
PEA15,CellAge
PEBP1,CellAge
PELP1,CellAge
PES1,CellAge
PEX19,CellAge
PGR,CellAge
PHB,CellAge
PHB2,CellAge
PHGDH,CellAge
PI4KB,CellAge
PIK3C2A,CellAge
PIK3CA,CellAge
PIK3R5,CellAge
PIM1,CellAge
PIN1,CellAge
PINK1,CellAge
PINX1,CellAge
PIR,CellAge
PITX1,CellAge
PLA2G2A,CellAge
PLA2R1,CellAge
PLD2,CellAge
PLK1,CellAge
PML,CellAge
PMVK,CellAge
PNPT1,CellAge
PON1,CellAge
POT1,CellAge
POU3F1,CellAge
POU5F1,CellAge
PPARG,CellAge
PPARGC1A,CellAge
PPIB,CellAge
PPM1B,CellAge
PPM1D,CellAge
PPP1R13B,CellAge
PPP2R1A,CellAge
PPP2R5A,CellAge
PRKAA2,CellAge
PRKCD,CellAge
PRKCH,CellAge
PRKD1,CellAge
PRKD2,CellAge
PRKDC,CellAge
PRKN,CellAge
PRMT1,CellAge
PRMT6,CellAge
PRODH,CellAge
PROX1,CellAge
PRPF19,CellAge
PSMA2,CellAge
PSMA5,CellAge
PSMB1,CellAge
PSMB5,CellAge
PSMD14,CellAge
PTEN,CellAge
PTGS2,CellAge
PTK2,CellAge
PTPN1,CellAge
PTPN6,CellAge
PTTG1,CellAge
PURB,CellAge
PYGL,CellAge
RACGAP1,CellAge
RACK1,CellAge
RAD21,CellAge
RAD23B,CellAge
RAD51C,CellAge
RAF1,CellAge
RAN,CellAge
RANBP9,CellAge
RAP1GAP,CellAge
RAPGEF4,CellAge
RARB,CellAge
RASSF1,CellAge
RASSF4,CellAge
RASSF5,CellAge
RB1,CellAge
RBBP4,CellAge
RBL1,CellAge
RBL2,CellAge
RBM38,CellAge
RBM39,CellAge
RBP1,CellAge
RBP2,CellAge
RBPJ,CellAge
RBX1,CellAge
RCC1,CellAge
