gene,confidence_level,lifespan_extending,lifespan_reducing,lifespan_effect,criteria_count
MBNL1,lowest,False,False,UNKNOWN,1
BIRC2,lowest,False,False,UNKNOWN,1
TIMM17A,lowest,False,False,UNKNOWN,1
RXRA,lowest,False,False,UNKNOWN,1
ACOX1,lowest,False,False,UNKNOWN,2
SLCO3A1,lowest,False,False,UNKNOWN,1
SLC14A1,lowest,False,False,UNKNOWN,1
APPBP1,lowest,False,False,UNKNOWN,1
IL6ST,lowest,False,False,UNKNOWN,1
ATPAF1,lowest,False,False,UNKNOWN,1
EPHX2,lowest,False,False,UNKNOWN,1
FES,lowest,False,False,UNKNOWN,1
TRIM72,low,False,False,UNKNOWN,3
TARDBP,moderate,True,True,ANTI,4
,lowest,False,False,UNKNOWN,0
KDR,lowest,False,False,UNKNOWN,2
POU5F1,lowest,False,False,UNKNOWN,2
EZH2,moderate,True,False,PRO,3
LAMA2,lowest,False,False,UNKNOWN,1
LAMA4,lowest,False,False,UNKNOWN,1
LAMA5,lowest,False,False,UNKNOWN,1
LAMB1,lowest,False,False,UNKNOWN,1
LAMB2,lowest,False,False,UNKNOWN,1
LAMB3,lowest,False,False,UNKNOWN,2
LAMC2,lowest,False,False,UNKNOWN,1
ESR2,lowest,False,False,UNKNOWN,1
ITGA3,lowest,False,False,UNKNOWN,1
ITGA4,lowest,False,False,UNKNOWN,1
ITGA6,lowest,False,False,UNKNOWN,1
ITGAE,lowest,False,False,UNKNOWN,1
ITGAV,lowest,False,False,UNKNOWN,1
ITGB1,moderate,True,False,PRO,4
ITGB2,lowest,False,False,UNKNOWN,1
ITGB3,low,False,False,UNKNOWN,4
HLA-DRB1,low,False,False,UNKNOWN,2
CXCL9,lowest,False,False,UNKNOWN,2
BPIFB4,low,False,False,UNKNOWN,3
SSTR2,lowest,False,False,UNKNOWN,1
SSTR5,lowest,False,False,UNKNOWN,1
SSTR1,lowest,False,False,UNKNOWN,1
IGFBP5,low,False,False,UNKNOWN,2
SOX2,lowest,True,False,PRO,1
KLF4,lowest,False,False,UNKNOWN,1
MC4R,lowest,False,True,ANTI,2
BHLHE41,lowest,False,False,UNKNOWN,1
FZD7,lowest,False,False,UNKNOWN,1
HSPB8,lowest,False,False,UNKNOWN,1
TBKBP1,lowest,False,False,UNKNOWN,1
TIAM1,lowest,False,False,UNKNOWN,1
SH3BP5,lowest,False,False,UNKNOWN,1
GPRC5B,lowest,False,False,UNKNOWN,1
CITED4,lowest,False,False,UNKNOWN,1
CCDC88C,lowest,False,False,UNKNOWN,1
GYPC,lowest,False,False,UNKNOWN,1
SERINC3,lowest,False,False,UNKNOWN,1
PDE4B,low,False,False,UNKNOWN,2
ARHGAP35,lowest,False,False,UNKNOWN,1
CADM1,lowest,False,False,UNKNOWN,1
NFATC2,lowest,False,False,UNKNOWN,1
CD28,lowest,False,False,UNKNOWN,1
DYRK2,lowest,False,False,UNKNOWN,1
MYO10,lowest,False,False,UNKNOWN,1
ACVR2A,lowest,False,False,UNKNOWN,1
WNK1,lowest,False,False,UNKNOWN,1
MR1,lowest,False,False,UNKNOWN,1
RCOR3,lowest,False,False,UNKNOWN,1
C7,lowest,False,False,UNKNOWN,1
CPD,lowest,False,False,UNKNOWN,1
MAP1B,lowest,False,False,UNKNOWN,1
HDAC9,lowest,False,False,UNKNOWN,1
DYRK1A,lowest,False,False,UNKNOWN,1
ME1,lowest,False,False,UNKNOWN,1
PLCL2,lowest,False,False,UNKNOWN,1
MTSS1,lowest,False,False,UNKNOWN,1
HERC3,lowest,False,False,UNKNOWN,1
MAF,lowest,False,False,UNKNOWN,1
SEMA6D,lowest,False,False,UNKNOWN,1
TPPP,lowest,False,False,UNKNOWN,1
SLC9A2,lowest,False,False,UNKNOWN,1
CAMK2A,lowest,False,False,UNKNOWN,1
RBM3,lowest,False,False,UNKNOWN,1
NF1,lowest,False,False,UNKNOWN,1
ANXA7,lowest,False,False,UNKNOWN,1
RBFOX2,lowest,False,False,UNKNOWN,1
CBFA2T2,lowest,False,False,UNKNOWN,1
TSC22D1,lowest,False,False,UNKNOWN,1
RTN4,lowest,False,False,UNKNOWN,1
PAK1,lowest,False,False,UNKNOWN,1
RLF,lowest,False,False,UNKNOWN,1
PRKACB,lowest,False,False,UNKNOWN,1
MAT2A,lowest,False,False,UNKNOWN,1
ADAMTS5,lowest,False,False,UNKNOWN,1
TBL1X,lowest,False,False,UNKNOWN,1
AKAP9,lowest,False,False,UNKNOWN,1
FOXN3,lowest,False,False,UNKNOWN,1
UBR5,lowest,False,False,UNKNOWN,1
MAGED2,lowest,False,False,UNKNOWN,1
TOB1,lowest,False,False,UNKNOWN,1
DICER1,lowest,False,False,UNKNOWN,1
SORT1,lowest,False,False,UNKNOWN,1
NR1D1,lowest,False,False,UNKNOWN,1
FEZ2,lowest,False,False,UNKNOWN,1
MBOAT1,lowest,False,False,UNKNOWN,1
CALM3,lowest,False,False,UNKNOWN,1
CDKN2C,lowest,False,False,UNKNOWN,1
TRAPPC10,lowest,False,False,UNKNOWN,1
NCOA2,lowest,False,False,UNKNOWN,1
PIK3CD,moderate,True,True,PRO,2
FBXO21,lowest,False,False,UNKNOWN,1
ADRB2,lowest,False,False,UNKNOWN,1
RBMS1,lowest,False,False,UNKNOWN,1
ETS2,lowest,False,False,UNKNOWN,1
LDLR,lowest,False,False,UNKNOWN,1
LRRFIP1,lowest,False,False,UNKNOWN,1
YY1,lowest,False,False,UNKNOWN,1
GPC4,lowest,False,False,UNKNOWN,1
NEK9,lowest,False,False,UNKNOWN,1
FBXL4,lowest,False,False,UNKNOWN,1
USP13,lowest,False,False,UNKNOWN,1
LRP4,lowest,False,False,UNKNOWN,1
ZMIZ2,lowest,False,False,UNKNOWN,1
CERT1,lowest,False,False,UNKNOWN,1
ADD3,lowest,False,False,UNKNOWN,1
MGST1,lowest,False,False,UNKNOWN,1
GNA13,lowest,False,False,UNKNOWN,1
MAP4,lowest,False,False,UNKNOWN,1
CACNG1,lowest,False,False,UNKNOWN,1
ARHGEF5,lowest,False,False,UNKNOWN,1
TNRC6A,lowest,False,False,UNKNOWN,1
ZEB2,lowest,False,False,UNKNOWN,1
HNRNPD,low,False,True,ANTI,3
CRY2,lowest,False,False,UNKNOWN,1
NDEL1,lowest,False,False,UNKNOWN,1
RARA,lowest,False,False,UNKNOWN,1
TMEM123,lowest,False,False,UNKNOWN,1
VWF,lowest,False,False,UNKNOWN,1
MTUS1,lowest,False,False,UNKNOWN,1
ZBTB18,lowest,False,False,UNKNOWN,1
RYK,lowest,False,False,UNKNOWN,1
NFYB,lowest,False,False,UNKNOWN,1
KIF1B,lowest,False,False,UNKNOWN,1
PENK,lowest,False,False,UNKNOWN,1
NDST1,lowest,False,False,UNKNOWN,1
ZFTRAF1,lowest,False,False,UNKNOWN,1
CTNNBIP1,lowest,False,False,UNKNOWN,1
DLG1,lowest,False,False,UNKNOWN,1
CRTC3,lowest,False,False,UNKNOWN,1
SEMA3B,lowest,False,False,UNKNOWN,1
TSC22D3,lowest,False,False,UNKNOWN,1
USP46,lowest,False,False,UNKNOWN,1
PFKFB1,lowest,False,False,UNKNOWN,1
SDHB,lowest,False,False,UNKNOWN,1
NME2,lowest,False,False,UNKNOWN,1
GRAMD2B,lowest,False,False,UNKNOWN,1
RSL1D1,lowest,False,False,UNKNOWN,1
OCRL,lowest,False,False,UNKNOWN,1
PTGES2,lowest,False,False,UNKNOWN,1
OSBPL3,lowest,False,False,UNKNOWN,1
CTNNA1,lowest,False,False,UNKNOWN,1
AIDA,lowest,False,False,UNKNOWN,1
GLE1,lowest,False,False,UNKNOWN,1
CTH,lowest,False,False,UNKNOWN,1
AHCYL2,lowest,False,False,UNKNOWN,1
IDH1,lowest,False,False,UNKNOWN,1
CRYAB,lowest,False,False,UNKNOWN,1
CAST,lowest,False,False,UNKNOWN,1
RPS21,lowest,False,False,UNKNOWN,1
FGFR3,lowest,False,False,UNKNOWN,1
ERGIC3,lowest,False,False,UNKNOWN,1
ARMCX3,lowest,False,False,UNKNOWN,1
TMEM9,lowest,False,False,UNKNOWN,1
LYVE1,lowest,False,False,UNKNOWN,1
SH3KBP1,lowest,False,False,UNKNOWN,1
GLUD1,lowest,False,False,UNKNOWN,1
NOS1,lowest,False,False,UNKNOWN,1
SDC4,lowest,False,False,UNKNOWN,1
MAFF,lowest,False,False,UNKNOWN,1
MCL1,lowest,False,False,UNKNOWN,1
FGF2,lowest,False,False,UNKNOWN,1
CD163,lowest,False,False,UNKNOWN,1
ABR,lowest,False,False,UNKNOWN,1
FAM107A,lowest,False,False,UNKNOWN,1
SLC25A12,lowest,False,False,UNKNOWN,1
TNNT1,lowest,False,False,UNKNOWN,1
ADH1A,lowest,False,False,UNKNOWN,1
TBC1D1,lowest,False,False,UNKNOWN,1
ATP2A2,lowest,False,False,UNKNOWN,1
ITM2A,lowest,False,False,UNKNOWN,1
TPM3,lowest,False,False,UNKNOWN,1
MBNL2,lowest,False,False,UNKNOWN,1
ZFP36,lowest,False,False,UNKNOWN,1
IP6K3,lowest,False,False,UNKNOWN,1
DDX3X,lowest,False,False,UNKNOWN,1
KLF13,lowest,False,False,UNKNOWN,1
RPL3,lowest,False,False,UNKNOWN,1
NR4A3,lowest,False,False,UNKNOWN,1
GADD45G,lowest,False,False,UNKNOWN,1
CIRBP,lowest,False,False,UNKNOWN,1
TMPO,lowest,False,False,UNKNOWN,1
ARL2BP,lowest,False,False,UNKNOWN,1
NMB,lowest,False,False,UNKNOWN,1
RASGRP2,lowest,False,False,UNKNOWN,1
SLC25A28,lowest,False,False,UNKNOWN,1
TSPYL2,lowest,False,False,UNKNOWN,1
SIAH1,lowest,False,False,UNKNOWN,1
ECI2,lowest,False,False,UNKNOWN,1
CXCL14,lowest,False,False,UNKNOWN,1
KLF6,lowest,False,False,UNKNOWN,1
DNTTIP2,lowest,False,False,UNKNOWN,1
SFPQ,lowest,False,False,UNKNOWN,1
TFDP2,lowest,False,False,UNKNOWN,1
EWSR1,lowest,False,False,UNKNOWN,1
FANCL,lowest,False,False,UNKNOWN,1
SLC25A27,lowest,False,False,UNKNOWN,1
CLASRP,lowest,False,False,UNKNOWN,1
MADD,lowest,False,False,UNKNOWN,1
SOX13,lowest,False,False,UNKNOWN,1
RPL22,lowest,False,False,UNKNOWN,1
NPC1,lowest,False,False,UNKNOWN,1
SGK1,lowest,False,False,UNKNOWN,1
HSD11B1,lowest,False,False,UNKNOWN,1
DHX9,lowest,False,False,UNKNOWN,1
SCAPER,lowest,False,False,UNKNOWN,1
GGT7,lowest,False,False,UNKNOWN,1
CLIC4,lowest,False,False,UNKNOWN,1
CDYL,lowest,False,False,UNKNOWN,1
ASL,lowest,False,False,UNKNOWN,1
ELAVL1,lowest,False,False,UNKNOWN,1
CAV1,high,True,True,ANTI,4
G3BP2,lowest,False,False,UNKNOWN,1
ADK,lowest,False,False,UNKNOWN,1
AZIN1,lowest,False,False,UNKNOWN,1
TRIO,lowest,False,False,UNKNOWN,1
PLCE1,lowest,False,False,UNKNOWN,1
THY1,lowest,False,False,UNKNOWN,1
PDK1,lowest,False,False,UNKNOWN,1
SLC43A2,lowest,False,False,UNKNOWN,1
FN1,lowest,False,True,ANTI,2
ARPP21,lowest,False,False,UNKNOWN,1
PREPL,lowest,False,False,UNKNOWN,1
CDC16,lowest,False,False,UNKNOWN,1
CBX4,lowest,False,False,UNKNOWN,1
NUDT4,lowest,False,False,UNKNOWN,1
PRNP,lowest,False,False,UNKNOWN,1
S100A8,lowest,False,False,UNKNOWN,1
PGPEP1,lowest,False,False,UNKNOWN,1
EFS,lowest,False,False,UNKNOWN,1
PAQR9,lowest,False,False,UNKNOWN,1
VGLL4,lowest,False,False,UNKNOWN,1
RALGAPA1,lowest,False,False,UNKNOWN,1
WDR6,lowest,False,False,UNKNOWN,1
CHAD,lowest,False,False,UNKNOWN,1
GNB5,lowest,False,False,UNKNOWN,1
BEND3,lowest,False,False,UNKNOWN,1
PRKAR1A,lowest,False,False,UNKNOWN,1
RBL2,lowest,False,False,UNKNOWN,1
ZMAT3,lowest,False,False,UNKNOWN,1
CKMT2,lowest,False,False,UNKNOWN,1
ST6GAL1,lowest,False,False,UNKNOWN,1
UBE2H,lowest,False,False,UNKNOWN,1
LDLRAP1,lowest,False,False,UNKNOWN,1
MSN,lowest,False,False,UNKNOWN,1
RASA4,lowest,False,False,UNKNOWN,1
CDC42EP3,lowest,False,False,UNKNOWN,1
CXCL12,lowest,False,False,UNKNOWN,1
ACTG1,lowest,False,False,UNKNOWN,1
PDE4A,lowest,False,False,UNKNOWN,1
AFG1L,lowest,False,False,UNKNOWN,1
STOM,lowest,False,False,UNKNOWN,1
S100A9,lowest,False,False,UNKNOWN,1
PODXL,lowest,False,False,UNKNOWN,1
RTN4IP1,lowest,False,False,UNKNOWN,1
FADS1,low,False,False,UNKNOWN,2
APOB,lowest,False,False,UNKNOWN,1
STARD13,lowest,False,False,UNKNOWN,1
GNG11,lowest,False,False,UNKNOWN,1
PSMD5,lowest,False,False,UNKNOWN,1
MPC1,lowest,False,False,UNKNOWN,1
MAN1C1,lowest,False,False,UNKNOWN,1
ECM2,lowest,False,False,UNKNOWN,1
PDHA1,lowest,False,False,UNKNOWN,1
SYNGR1,lowest,False,False,UNKNOWN,1
C4B,lowest,False,False,UNKNOWN,1
VEGFC,lowest,False,False,UNKNOWN,1
SERPINF1,lowest,False,False,UNKNOWN,1
AMOTL2,lowest,False,False,UNKNOWN,1
ECHDC1,lowest,False,False,UNKNOWN,1
RPS6KA3,lowest,False,False,UNKNOWN,1
ATOX1,lowest,False,False,UNKNOWN,1
BACE2,lowest,False,False,UNKNOWN,1
LY6G5C,lowest,False,False,UNKNOWN,1
ACOT13,lowest,False,False,UNKNOWN,1
MGST2,lowest,False,False,UNKNOWN,1
UBL3,lowest,False,False,UNKNOWN,1
DAAM1,lowest,False,False,UNKNOWN,1
EBF1,lowest,False,False,UNKNOWN,1
HTRA1,lowest,False,False,UNKNOWN,1
SLC44A2,lowest,False,False,UNKNOWN,1
CHCHD4,lowest,False,False,UNKNOWN,1
COX7C,lowest,False,False,UNKNOWN,1
DAAM2,lowest,False,False,UNKNOWN,1
ANXA1,lowest,False,False,UNKNOWN,1
LSS,lowest,False,False,UNKNOWN,1
MPZL2,lowest,False,False,UNKNOWN,1
GRHPR,lowest,False,False,UNKNOWN,1
RAD50,low,False,False,UNKNOWN,2
MRPL30,lowest,False,False,UNKNOWN,1
NUDT12,lowest,False,False,UNKNOWN,1
ICAM2,lowest,False,False,UNKNOWN,1
ANXA5,lowest,False,False,UNKNOWN,1
LPIN1,lowest,False,False,UNKNOWN,1
H3-3B,lowest,False,False,UNKNOWN,1
IL1B,lowest,False,False,UNKNOWN,1
ABCC4,lowest,False,False,UNKNOWN,1
CLPX,lowest,False,False,UNKNOWN,1
PHLDA1,lowest,False,False,UNKNOWN,1
NAP1L1,lowest,False,False,UNKNOWN,1
SORD,lowest,False,False,UNKNOWN,1
TUBB2A,lowest,False,False,UNKNOWN,1
RAB1A,lowest,False,False,UNKNOWN,1
GNE,lowest,False,False,UNKNOWN,1
RBM15,lowest,False,False,UNKNOWN,1
CAPN2,lowest,False,False,UNKNOWN,1
POLD4,lowest,False,False,UNKNOWN,1
GSN,lowest,False,False,UNKNOWN,1
MID1IP1,lowest,False,False,UNKNOWN,1
SPTSSA,lowest,False,False,UNKNOWN,1
BPHL,lowest,False,False,UNKNOWN,1
ICAM1,low,False,False,UNKNOWN,2
SLC25A19,lowest,False,False,UNKNOWN,1
HP,low,False,False,UNKNOWN,2
EIF4G3,lowest,False,False,UNKNOWN,1
SNTG2,lowest,False,False,UNKNOWN,1
ATP5MC3,lowest,False,False,UNKNOWN,1
ARHGEF9,lowest,False,False,UNKNOWN,1
MIPEP,lowest,False,False,UNKNOWN,1
CALD1,lowest,False,False,UNKNOWN,1
TBX3,lowest,False,False,UNKNOWN,1
PDE9A,lowest,False,False,UNKNOWN,1
MTFP1,lowest,False,False,UNKNOWN,1
CD2AP,lowest,False,False,UNKNOWN,1
PGK1,lowest,False,False,UNKNOWN,1
EIF4A1,lowest,False,False,UNKNOWN,1
EEF2K,lowest,False,False,UNKNOWN,1
ELOVL5,lowest,False,False,UNKNOWN,1
CHRNA7,moderate,True,False,PRO,1
MRPS5,moderate,True,False,PRO,3
ADRA1A,highest,True,False,PRO,3
ADRA1B,lowest,False,True,ANTI,1
AKT2,high,True,True,PRO,5
CASP2,lowest,False,True,ANTI,2
CDC14B,lowest,False,False,UNKNOWN,2
DMD,low,False,True,ANTI,3
NOTCH3,moderate,True,False,PRO,3
HTR1B,lowest,False,True,ANTI,2
VCL,moderate,True,False,PRO,2
PDE4D,lowest,False,False,UNKNOWN,1
TXNRD1,lowest,False,False,UNKNOWN,1
SMAD2,lowest,False,False,UNKNOWN,1
SMAD3,lowest,False,False,UNKNOWN,1
GGH,lowest,False,False,UNKNOWN,1
MSH2,low,False,True,ANTI,2
SURF1,high,True,False,PRO,3
TOPORS,high,True,True,MIXED,3
RPS6KB1,highest,True,False,PRO,4
PRKAR2B,high,True,False,MIXED,2
GDF15,high,True,False,PRO,2
RBM38,lowest,False,True,ANTI,2
MSTN,highest,True,True,PRO,5
SIGLEC12,lowest,False,True,ANTI,2
G6PD,high,True,True,MIXED,4
MTBP,high,True,False,PRO,2
GMFB,lowest,False,True,ANTI,2
PER2,high,True,False,PRO,2
SOD3,low,False,True,ANTI,3
CDKN2B-AS1,lowest,False,False,UNKNOWN,1
TELO2,moderate,True,False,PRO,1
FST,high,True,False,PRO,3
MAPK10,moderate,True,True,ANTI,2
NOTCH1,moderate,True,False,PRO,2
NOTCH2,moderate,True,False,PRO,2
TH,lowest,False,False,UNKNOWN,1
TIRAP,lowest,False,False,UNKNOWN,1
HNF4A,lowest,False,False,UNKNOWN,1
IL1RN,lowest,False,False,UNKNOWN,1
MAP3K9,lowest,False,False,UNKNOWN,1
TNKS2,lowest,False,False,UNKNOWN,1
TEP1,lowest,False,False,UNKNOWN,1
MIR3156-3,lowest,False,False,UNKNOWN,1
AKR1C2,lowest,False,False,UNKNOWN,1
FAM13A,lowest,False,False,UNKNOWN,1
BEND4,lowest,False,False,UNKNOWN,1
EPHA6,lowest,False,False,UNKNOWN,1
ZFYVE28,lowest,False,False,UNKNOWN,1
ASIC2,lowest,False,False,UNKNOWN,1
OLFM4,lowest,False,False,UNKNOWN,1
CYP1B1,low,False,False,UNKNOWN,2
XRCC1,lowest,False,False,UNKNOWN,1
MRE11,lowest,False,False,UNKNOWN,1
AOX1,lowest,False,False,UNKNOWN,1
RAD23B,low,False,False,UNKNOWN,2
PRDX3,lowest,False,False,UNKNOWN,1
IDE,lowest,False,False,UNKNOWN,1
EXO1,lowest,False,False,UNKNOWN,1
GHSR,lowest,False,False,UNKNOWN,1
LONP1,lowest,False,False,UNKNOWN,1
PARK7,lowest,False,False,UNKNOWN,1
CYP19A1,lowest,False,False,UNKNOWN,1
KCNA5,lowest,False,False,UNKNOWN,1
CSMD1,lowest,False,False,UNKNOWN,1
IMPG1,lowest,False,False,UNKNOWN,1
PKHD1,lowest,False,False,UNKNOWN,1
SYDE2,lowest,False,False,UNKNOWN,1
BRD1,lowest,False,False,UNKNOWN,1
SLC39A11,lowest,False,False,UNKNOWN,1
STK10,lowest,False,False,UNKNOWN,1
ZFP69B,lowest,False,False,UNKNOWN,1
PGGT1B,lowest,False,False,UNKNOWN,1
FSTL5,lowest,False,False,UNKNOWN,1
NOTCH4,lowest,False,False,UNKNOWN,1
CYP1B1-AS1,lowest,False,False,UNKNOWN,1
LNPK,lowest,False,False,UNKNOWN,1
FRK,lowest,False,False,UNKNOWN,1
DRD2,lowest,False,False,UNKNOWN,1
SLC6A3,lowest,False,False,UNKNOWN,1
TOMM40,lowest,False,False,UNKNOWN,1
BTNL2,lowest,False,False,UNKNOWN,1
TNFSF8,lowest,False,False,UNKNOWN,1
C2,lowest,False,False,UNKNOWN,1
CFB,lowest,False,False,UNKNOWN,1
VASH1,lowest,False,False,UNKNOWN,1
AIF1,lowest,False,False,UNKNOWN,1
LRP1B,lowest,False,False,UNKNOWN,1
DZIP3,lowest,False,False,UNKNOWN,1
RAD51B,lowest,False,False,UNKNOWN,1
KIF13B,lowest,False,False,UNKNOWN,1
KLRF1,lowest,False,False,UNKNOWN,1
ELL2,lowest,False,False,UNKNOWN,1
TOX,lowest,False,False,UNKNOWN,1
SLC4A4,lowest,False,False,UNKNOWN,1
WWOX,lowest,False,False,UNKNOWN,1
BTBD9,lowest,False,False,UNKNOWN,1
HPCAL1,lowest,False,False,UNKNOWN,1
CLSTN2,lowest,False,False,UNKNOWN,1
PPP1R26,lowest,False,False,UNKNOWN,0
CDH4,lowest,False,False,UNKNOWN,1
NLRC5,lowest,False,False,UNKNOWN,1
PARVG,lowest,False,False,UNKNOWN,1
RUNX3,lowest,False,False,UNKNOWN,1
CARS1,lowest,False,False,UNKNOWN,1
PPP2R2C,lowest,False,False,UNKNOWN,1
TAFA5,lowest,False,False,UNKNOWN,1
RAC2,lowest,False,False,UNKNOWN,1
CACNA1C,lowest,False,False,UNKNOWN,1
TGFA,low,False,False,UNKNOWN,2
SVEP1,lowest,False,False,UNKNOWN,1
NCAM2,lowest,False,False,UNKNOWN,1
IGFBP4,lowest,False,False,UNKNOWN,1
IGFBP6,lowest,False,False,UNKNOWN,1
GRIK2,lowest,False,False,UNKNOWN,1
RGS7,lowest,False,False,UNKNOWN,1
SOX6,lowest,False,False,UNKNOWN,1
PFKM,lowest,False,False,UNKNOWN,1
LIMCH1,lowest,False,False,UNKNOWN,1
MACF1,lowest,False,False,UNKNOWN,1
PDE4DIP,lowest,False,False,UNKNOWN,1
TXNIP,lowest,False,False,UNKNOWN,1
PRPF3,lowest,False,False,UNKNOWN,1
SLC27A3,lowest,False,False,UNKNOWN,1
PYHIN1,lowest,False,False,UNKNOWN,1
GPR137B,lowest,False,False,UNKNOWN,1
HADHA,lowest,False,False,UNKNOWN,1
EML4,lowest,False,False,UNKNOWN,1
NRXN1,lowest,False,False,UNKNOWN,1
SPTBN1,lowest,False,False,UNKNOWN,1
AHSA2P,lowest,False,False,UNKNOWN,1
KLF7,lowest,False,False,UNKNOWN,1
IL17RC,lowest,False,False,UNKNOWN,1
ATP2B2,lowest,False,False,UNKNOWN,1
NR2C2,lowest,False,False,UNKNOWN,1
RAB5A,lowest,False,False,UNKNOWN,1
GOLGA4,lowest,False,False,UNKNOWN,1
SCN10A,lowest,False,False,UNKNOWN,1
FLNB,lowest,False,False,UNKNOWN,1
MBD4,lowest,False,False,UNKNOWN,1
NCK1,lowest,False,False,UNKNOWN,1
SKIL,lowest,False,False,UNKNOWN,1
ZNF141,lowest,False,False,UNKNOWN,1
DHX15,lowest,False,False,UNKNOWN,1
TLR1,lowest,False,False,UNKNOWN,1
CXCL2,lowest,False,False,UNKNOWN,1
HERC6,lowest,False,False,UNKNOWN,1
MTTP,lowest,False,False,UNKNOWN,1
ERAP2,lowest,False,False,UNKNOWN,1
PAM,lowest,False,False,UNKNOWN,1
ATG12,lowest,False,False,UNKNOWN,1
PPIC,lowest,False,False,UNKNOWN,1
ARAP3,lowest,False,False,UNKNOWN,1
NUP153,lowest,False,False,UNKNOWN,1
TRIM38,lowest,False,False,UNKNOWN,1
HLA-DRB5,lowest,False,False,UNKNOWN,1
HSP90AB1,lowest,False,False,UNKNOWN,1
LPA,lowest,False,False,UNKNOWN,1
AGFG2,lowest,False,False,UNKNOWN,1
RELN,lowest,False,False,UNKNOWN,1
COG5,lowest,False,False,UNKNOWN,1
MRPS28,lowest,False,False,UNKNOWN,1
CPNE3,lowest,False,False,UNKNOWN,1
INVS,lowest,False,False,UNKNOWN,1
POMT1,lowest,False,False,UNKNOWN,1
GDI2,lowest,False,False,UNKNOWN,1
SUPV3L1,lowest,False,False,UNKNOWN,1
GRK5,lowest,False,False,UNKNOWN,1
RRM1,lowest,False,False,UNKNOWN,1
TAF6L,lowest,False,False,UNKNOWN,1
STX5,lowest,False,False,UNKNOWN,1
PITPNM1,lowest,False,False,UNKNOWN,1
ZBTB44,lowest,False,False,UNKNOWN,1
ETV6,lowest,False,False,UNKNOWN,1
GCN1,lowest,False,False,UNKNOWN,1
EP400,lowest,False,False,UNKNOWN,1
SACS,lowest,False,False,UNKNOWN,1
GPC5,lowest,False,False,UNKNOWN,1
ZBTB25,lowest,False,False,UNKNOWN,1
ACTN1,lowest,False,False,UNKNOWN,1
SLC12A6,lowest,False,False,UNKNOWN,1
FURIN,lowest,False,False,UNKNOWN,1
CHTF18,lowest,False,False,UNKNOWN,1
TBL3,lowest,False,False,UNKNOWN,1
SRRM2,lowest,False,False,UNKNOWN,1
ZNF267,lowest,False,False,UNKNOWN,1
AARS1,lowest,False,False,UNKNOWN,1
ZFHX3,lowest,False,False,UNKNOWN,1
TAX1BP3,lowest,False,False,UNKNOWN,1
USP6,lowest,False,False,UNKNOWN,1
RABEP1,lowest,False,False,UNKNOWN,1
PCGF2,lowest,False,False,UNKNOWN,1
ABCA8,lowest,False,False,UNKNOWN,1
ABCA5,lowest,False,False,UNKNOWN,1
FDXR,lowest,False,True,ANTI,1
YES1,lowest,False,False,UNKNOWN,1
MC2R,lowest,False,False,UNKNOWN,1
WDR87,lowest,False,False,UNKNOWN,1
FCGBP,lowest,False,False,UNKNOWN,1
CYP2A6,lowest,False,False,UNKNOWN,1
ZNF226,lowest,False,False,UNKNOWN,1
ZNF415,lowest,False,False,UNKNOWN,1
NOP56,lowest,False,False,UNKNOWN,1
PHF20,lowest,False,False,UNKNOWN,1
SON,lowest,False,False,UNKNOWN,1
RRP1B,lowest,False,False,UNKNOWN,1
SUMO3,lowest,False,False,UNKNOWN,1
PRR5,lowest,False,False,UNKNOWN,1
IGBP1,lowest,False,False,UNKNOWN,1
ATP1B4,lowest,False,False,UNKNOWN,1
ARHGEF6,lowest,False,False,UNKNOWN,1
RBMX,lowest,False,False,UNKNOWN,1
SH2B3,low,False,False,UNKNOWN,2
ABO,lowest,False,False,UNKNOWN,1
HYKK,lowest,False,False,UNKNOWN,1
CELSR2,lowest,False,False,UNKNOWN,1
CHRNA5,lowest,False,False,UNKNOWN,1
ATXN2,lowest,False,False,UNKNOWN,1
PROX2,lowest,False,False,UNKNOWN,1
CHRNA3,lowest,False,False,UNKNOWN,1
ZW10,lowest,False,False,UNKNOWN,1
EXOC3L2,lowest,False,False,UNKNOWN,1
CHRNA4,lowest,False,False,UNKNOWN,1
USP42,lowest,False,False,UNKNOWN,1
TMTC2,lowest,False,False,UNKNOWN,1
MAGI3,lowest,False,False,UNKNOWN,1
KCNK3,lowest,False,False,UNKNOWN,1
HLA-DQA1,low,False,False,UNKNOWN,2
TMEM18,lowest,False,False,UNKNOWN,1
POM121C,lowest,False,False,UNKNOWN,1
ZC3HC1,lowest,False,False,UNKNOWN,1
BCL3,lowest,False,False,UNKNOWN,1
RNASE1,lowest,False,False,UNKNOWN,1
CCN5,lowest,False,False,UNKNOWN,1
SPON1,lowest,False,False,UNKNOWN,1
DSC2,lowest,False,False,UNKNOWN,1
HLA-DPB1,lowest,False,False,UNKNOWN,1
TNFSF14,lowest,False,False,UNKNOWN,1
HERC4,lowest,False,False,UNKNOWN,1
ECE1,lowest,False,False,UNKNOWN,1
CD27,lowest,False,False,UNKNOWN,1
ARFIP1,lowest,False,False,UNKNOWN,1
SLAMF7,lowest,False,False,UNKNOWN,1
SLPI,lowest,False,False,UNKNOWN,1
MRC1,lowest,False,False,UNKNOWN,1
NELL2,lowest,False,False,UNKNOWN,1
VEGFD,lowest,False,False,UNKNOWN,1
TLR4,lowest,False,False,UNKNOWN,1
DSC1,lowest,False,False,UNKNOWN,1
